S³owoPodstawe;Synonim1;Synonim2;Synonim3;Synonim4;Synonim5;Synonim6;Synonim7;Synonim8;Synonim9;Synonim10;Synonim11;Synonim12;Synonim13;Synonim14;Synonim15;Synonim16;Synonim17;Synonim18
adorowaæ;czuæ sympatiê;kochaæ;lubiæ;mi³owaæ;po¿¹daæ;ubóstwiaæ;uwielbiaæ;wielbiæ;¿ywiæ uczucie;;;;;;;;;
adrenalina;suprarenina;;;;;;;;;;;;;;;;;
adresantka;nadawczyni;;;;;;;;;;;;;;;;;
adresant;nadawca;;;;;;;;;;;;;;;;;
adresatka;odbiorczyni;;;;;;;;;;;;;;;;;
adresat;odbiorca;;;;;;;;;;;;;;;;;
adresowaæ;kierowaæ;zwracaæ;;;;;;;;;;;;;;;;
adverbium;adwerbium;przys³ówek;;;;;;;;;;;;;;;;
adwerbalny;przyczasownikowy;;;;;;;;;;;;;;;;;
adwerbialny;przys³ówkowy;;;;;;;;;;;;;;;;;
adwersarz;antagonista;oponent;przeciwnik;;;;;;;;;;;;;;;
adwokat;ajerkoniak;jajecznik;;;;;;;;;;;;;;;;
adwokat;mecenas;;;;;;;;;;;;;;;;;
adwokatura;palestra;;;;;;;;;;;;;;;;;
aerobik;gimnastyka przy muzyce;;;;;;;;;;;;;;;;;
aerodrom;lotnisko;;;;;;;;;;;;;;;;;
aerodynamiczny;op³ywowy;;;;;;;;;;;;;;;;;
aerofobia;lêk przed lataniem;;;;;;;;;;;;;;;;;
aerofon;dêciak;instrument dêty;;;;;;;;;;;;;;;;
aerofon ustnikowy;instrument dêty blaszany;;;;;;;;;;;;;;;;;
aerolit;meteoryt;;;;;;;;;;;;;;;;;
aeromechanika;mechanika gazów;;;;;;;;;;;;;;;;;
aeronauta;lotnik;;;;;;;;;;;;;;;;;
aeronautyczny;lotniczy;powietrzny;;;;;;;;;;;;;;;;
aeronautyka;lotnictwo;;;;;;;;;;;;;;;;;
aeroplan;p³atowiec;samolot;stalowy ptak;;;;;;;;;;;;;;;
afektacja;egzaltacja;;;;;;;;;;;;;;;;;
afekt;amor;czu³oœæ;eros;mi³oœæ;namiêtnoœæ;uczucie;;;;;;;;;;;;
afekt;atak;napad;paroksyzm;poryw;przyp³yw;przystêp;szlag;wybuch;;;;;;;;;;
afekt;ekscytacja;emocja;podniecenie;uczucie;uniesienie;wzruszenie;;;;;;;;;;;;
afektowany;bufoñski;efekciarski;krzykliwy;kuglarski;pretensjonalny;tromtadracki;;;;;;;;;;;;
afektowany;ksi¹¿kowy;nienaturalny;niepotoczny;sztuczny;udziwniony;wyszukany;;;;;;;;;;;;
afektowany;nienaturalny;pretensjonalny;sztuczny;tr¹c¹cy fa³szem;wyrafinowany;wystudiowany;wyuczony;zmanierowany;;;;;;;;;;
afera;kant;kombinacja;machlojka;matactwo;okpienie;oszukañstwo;oszustwo;przekrêt;szachrajstwo;szalbierstwo;szwindel;;;;;;;
a figê;akurat;figa z makiem;guzik z pêtelk¹;nic podobnego;sk¹d¿e;;;;;;;;;;;;;
afiks;zrostek;;;;;;;;;;;;;;;;;
afiliacja;przyjêcie w poczet rodu;;;;;;;;;;;;;;;;;
afiliowany;stowarzyszony;;;;;;;;;;;;;;;;;
afirmacja;akceptacja;aprobata;pochwa³a;zaaprobowanie;zgoda;;;;;;;;;;;;;
afirmatywny;potakuj¹cy;twierdz¹cy;;;;;;;;;;;;;;;;
