S³owoPodstawe;Synonim1;Synonim2;Synonim3;Synonim4;Synonim5;Synonim6;Synonim7;Synonim8;Synonim9;Synonim10;Synonim11;Synonim12;Synonim13;Synonim14;Synonim15;Synonim16;Synonim17;Synonim18
kompozycja;uk³ad;;;;;;;;;;;;;;;;;
kompresja;minimalizacja;sprê¿anie;œciskanie;;;;;;;;;;;;;;;
kompresja;pakowanie;upakowanie;;;;;;;;;;;;;;;;
kompromis;koncesja;ustêpstwo;;;;;;;;;;;;;;;;
kompromisowy;konsensusowy;oparty na kompromisie;ugodowy;;;;;;;;;;;;;;;
komputer biurkowy;komputer stacjonarny;;;;;;;;;;;;;;;;;
komputer kieszonkowy;palmtop;PDA;;;;;;;;;;;;;;;;
komputer osobisty;mikrokomputer;pecet;;;;;;;;;;;;;;;;
komputer przenoœny;laptop;notebook;;;;;;;;;;;;;;;;
komunalizacja;municypalizacja;;;;;;;;;;;;;;;;;
komunalny;miejski;municypalny;;;;;;;;;;;;;;;;
komunikacja;³¹cznoœæ;;;;;;;;;;;;;;;;;
komunikacja;porozumiewanie siê;wymiana;;;;;;;;;;;;;;;;
komunikacyjny;³¹cznoœciowy;;;;;;;;;;;;;;;;;
komunikacyjny;transportowy;;;;;;;;;;;;;;;;;
komunikat;oficjalna informacja;wiadomoœæ oficjalna;;;;;;;;;;;;;;;;
komunikatywnoœæ;zrozumia³oœæ;;;;;;;;;;;;;;;;;
komunikatywny;rozmowny;towarzyski;;;;;;;;;;;;;;;;
komunikowaæ;przekazywaæ;przesy³aæ;przewoziæ;;;;;;;;;;;;;;;
komunikowaæ siê;porozumiewaæ siê;;;;;;;;;;;;;;;;;
komutatywnoœæ;przemiennoœæ;;;;;;;;;;;;;;;;;
koncentracja;skupienie;;;;;;;;;;;;;;;;;
koncentrowaæ;ogniskowaæ;skupiaæ;;;;;;;;;;;;;;;;
koncentrowaæ siê;ogniskowaæ siê;skupiaæ siê;;;;;;;;;;;;;;;;
koncentryczny;wspó³osiowy;;;;;;;;;;;;;;;;;
konceptualizacja;ujmowanie w pojêciach;;;;;;;;;;;;;;;;;
konceptualny;pojêciowy;;;;;;;;;;;;;;;;;
koncert;popis;przedstawienie;wystêp;;;;;;;;;;;;;;;
koncert solisty;recital;;;;;;;;;;;;;;;;;
koncesja;zezwolenie;;;;;;;;;;;;;;;;;
koncha;muszla;skorupa;;;;;;;;;;;;;;;;
konchiologia;konchologia;konchyliologia;nauka o muszlach miêczaków;;;;;;;;;;;;;;;
koncyliacja;pojednanie;;;;;;;;;;;;;;;;;
koncyliacyjny;pojednawczy;;;;;;;;;;;;;;;;;
koncyliacyjny;pojednawczy;polubowny;sk³onny do porozumienia;;;;;;;;;;;;;;;
koncylium;sobór;;;;;;;;;;;;;;;;;
koncypowaæ;uk³adaæ;wymyœlaæ;;;;;;;;;;;;;;;;
kondemnowaæ;potêpiaæ;przeklinaæ;;;;;;;;;;;;;;;;
kondensacja;stê¿enie;zgêszczenie;;;;;;;;;;;;;;;;
kondensator;kondensor;skraplacz;;;;;;;;;;;;;;;;
kondolencje;wspó³czucie;wyrazy wspó³czucia;;;;;;;;;;;;;;;;
kondotier;najemnik;pies wojny;¿o³dak;;;;;;;;;;;;;;;
konduktancja;przewodnoœæ;;;;;;;;;;;;;;;;;
kondukt;orszak pogrzebowy;orszak ¿a³obny;;;;;;;;;;;;;;;;
kondycja;po³o¿enie;pozycja;stan;stan rzeczy;sytuacja;;;;;;;;;;;;;
kondygnacja;piêtro;;;;;;;;;;;;;;;;;
koneser;mi³oœnik;smakosz;;;;;;;;;;;;;;;;
konfederacja;liga;przymierze;zwi¹zek;;;;;;;;;;;;;;;
konferencja;narada;rada;zebranie;;;;;;;;;;;;;;;
konferencja;sympozjum;;;;;;;;;;;;;;;;;
konferowaæ;naradzaæ siê;obradowaæ;odbywaæ naradê;;;;;;;;;;;;;;;
konfesja;wyznanie;;;;;;;;;;;;;;;;;
konfesyjny;religijny;wyznaniowy;;;;;;;;;;;;;;;;
konfidencjonalny;niejawny;poufny;tajny;;;;;;;;;;;;;;;
konfiguracja;konstelacja;kszta³t;uk³ad;ukszta³towanie;;;;;;;;;;;;;;
konfirmacja;potwierdzenie;utwierdzenie;;;;;;;;;;;;;;;;
konfiskata;przepadek;;;;;;;;;;;;;;;;;
konfiskowaæ;rekwirowaæ;zabieraæ;;;;;;;;;;;;;;;;
konflikt;konfrontacja;spiêcie;spór;;;;;;;;;;;;;;;
konformista;oportunista;ugodowiec;wygodnicki;;;;;;;;;;;;;;;
konformizm;³atwizna;wygodnictwo;;;;;;;;;;;;;;;;
konformizm;naginanie siê;oportunizm;ugodowoœæ;uk³adnoœæ;;;;;;;;;;;;;;
konfrontowaæ;porównywaæ;zestawiaæ;;;;;;;;;;;;;;;;
konfrontowaæ;przeciwstawiaæ siê;stawaæ naprzeciw;stawiaæ czo³a;;;;;;;;;;;;;;;
konfrontowaæ;stawiaæ naprzeciw;;;;;;;;;;;;;;;;;
konfundowaæ;zaskakiwaæ;;;;;;;;;;;;;;;;;
konfunduj¹cy;myl¹cy;;;;;;;;;;;;;;;;;
konfunduj¹cy;zaskakuj¹cy;;;;;;;;;;;;;;;;;
kongestia;uderzenie krwi;;;;;;;;;;;;;;;;;
konglomerat;zbiór;;;;;;;;;;;;;;;;;
kongregacja;zgromadzenie;;;;;;;;;;;;;;;;;
kongres;zjazd;;;;;;;;;;;;;;;;;
kongruentny;przystaj¹cy;;;;;;;;;;;;;;;;;
koniec dnia;wieczór;;;;;;;;;;;;;;;;;
koniec;krañcowoœæ;mat;ostatecznoœæ;skraj;skrajnoœæ;;;;;;;;;;;;;
koniec tygodnia;weekend;;;;;;;;;;;;;;;;;
koniecznoœæ;mus;przymus;;;;;;;;;;;;;;;;
koniecznoœæ;nieodzownoœæ;niezbêdnoœæ;;;;;;;;;;;;;;;;
konieczny;nieodzowny;niezbêdny;potrzebny;wymagany;¿¹dany;;;;;;;;;;;;;
konik;koñ;skoczek;;;;;;;;;;;;;;;;
konina;miêso koñskie;;;;;;;;;;;;;;;;;
koniuch;pastuch koni;;;;;;;;;;;;;;;;;
koniugacja;odmiana czasownika;;;;;;;;;;;;;;;;;
koniunkcja;"operacja logiczna ""i""";;;;;;;;;;;;;;;;;
koniunkturalizm;oportunizm;;;;;;;;;;;;;;;;;
koniuszek;szpic;;;;;;;;;;;;;;;;;
konkluzja;mora³;nauka umoralniaj¹ca;wniosek;;;;;;;;;;;;;;;
konkretny;praktyczny;rzeczowy;;;;;;;;;;;;;;;;
konkretny;rzeczowy;trzeŸwy;zrównowa¿ony;;;;;;;;;;;;;;;
konkretny;sprecyzowany;;;;;;;;;;;;;;;;;
konkretyzacja;ukonkretnienie;;;;;;;;;;;;;;;;;
konkubent;konkubin;;;;;;;;;;;;;;;;;
konkubinat;wolny zwi¹zek;zwi¹zek partnerski;;;;;;;;;;;;;;;;
konkurencja;rywalizacja;;;;;;;;;;;;;;;;;
konkurencyjny;konkursowy;;;;;;;;;;;;;;;;;
konkurencyjny;rywalizuj¹cy;;;;;;;;;;;;;;;;;
konkurent;przeciwnik;rywal;wspó³zawodnicz¹cy;wspó³zawodnik;;;;;;;;;;;;;;
konkurowaæ;rywalizowaæ;wspó³zawodniczyæ;;;;;;;;;;;;;;;;
konkurowaæ;stawaæ w szranki;walczyæ;;;;;;;;;;;;;;;;
konkurs;quiz;zgadywanka;;;;;;;;;;;;;;;;
konkurs;turniej;wspó³zawodnictwo;zawody;;;;;;;;;;;;;;;
konotacja;sens;treœæ;znaczenie;;;;;;;;;;;;;;;
konotowaæ;oznaczaæ;symbolizowaæ;;;;;;;;;;;;;;;;
konsekracja;poœwiêcenie;;;;;;;;;;;;;;;;;
konsekracja;uroczyste poœwiêcenie;;;;;;;;;;;;;;;;;
konsekrowaæ;poœwiêcaæ;wyœwiêciæ;;;;;;;;;;;;;;;;
konsekwentnoœæ;uporczywoœæ;wytrwa³oœæ;;;;;;;;;;;;;;;;
konsekwentny;niewzruszony;niezachwiany;niez³omny;niezmienny;sta³y;trwa³y;zachowawczy;zaprzysiêg³y;zatwardzia³y;;;;;;;;;
konserwacja;pielêgnacja;;;;;;;;;;;;;;;;;
konserwa;puszka;;;;;;;;;;;;;;;;;
konserwatorium;szko³a muzyczna;;;;;;;;;;;;;;;;;
konserwatorka powierzchni p³askich;sprz¹taczka;;;;;;;;;;;;;;;;;
konserwator powierzchni p³askich;sprz¹tacz;;;;;;;;;;;;;;;;;
konserwatysta angielski;torys;;;;;;;;;;;;;;;;;
konserwatysta;reakcjonista;wstecznik;;;;;;;;;;;;;;;;
konserwatywny;zachowawczy;zacofany;zakrzep³y;zasklepia³y;zastyg³y;;;;;;;;;;;;;
konserwatyzm;reakcjonizm;wstecznictwo;zachowawczoœæ;;;;;;;;;;;;;;;
konserwowaæ;ochroniæ;przechowaæ;zabezpieczyæ;;;;;;;;;;;;;;;
konserwowaæ;poddawaæ konserwacji;;;;;;;;;;;;;;;;;
konserwowaæ;przechowywaæ;;;;;;;;;;;;;;;;;
konserwowany;przechowywany;zachowywany;;;;;;;;;;;;;;;;
konsolacja;stypa;uroczystoœæ ¿a³obna;;;;;;;;;;;;;;;;
konsola;pulpit;;;;;;;;;;;;;;;;;
konsonant;spó³g³oska;;;;;;;;;;;;;;;;;
konspiracja;spisek;;;;;;;;;;;;;;;;;
konspirator;spiskowiec;;;;;;;;;;;;;;;;;
konstatacja;stwierdzenie;wniosek;;;;;;;;;;;;;;;;
konstatowaæ;stwierdzaæ;upewniaæ siê;ustalaæ;uznawaæ za pewne;;;;;;;;;;;;;;
konsternacja;onieœmielenie;pomieszanie;skrêpowanie;wstyd;zak³opotanie;zawstydzenie;za¿enowanie;zmieszanie;¿enada;;;;;;;;;
konsternowaæ;napawaæ lêkiem;napêdzaæ strachu;przera¿aæ;straszyæ;terroryzowaæ;trwo¿yæ;trzymaæ w strachu;;;;;;;;;;;
konstrukcja;obramowanie;rama;szkielet;;;;;;;;;;;;;;;
konstrukcja;pomys³;propozycja;wnioskowanie;;;;;;;;;;;;;;;
konstruktor;kreator;matka chrzestna;ojciec chrzestny;twórca;;;;;;;;;;;;;;
konstytucja;ustawa zasadnicza;;;;;;;;;;;;;;;;;
konstytucyjny;ustrojowy;;;;;;;;;;;;;;;;;
konstytuowaæ;mianowaæ;powo³aæ do ¿ycia;stanowiæ;tworzyæ;ustanawiaæ;ustanowiæ;wyznaczaæ;;;;;;;;;;;
konstytutywny;stanowi¹cy;ustanawiaj¹cy;;;;;;;;;;;;;;;;
konsulat;placówka konsularna;;;;;;;;;;;;;;;;;
konsultacja;narada;;;;;;;;;;;;;;;;;
konsultowaæ;omawiaæ;radziæ siê;sprawdzaæ;zasiêgaæ rady;;;;;;;;;;;;;;
konsumpcja;spo¿ycie;;;;;;;;;;;;;;;;;
kontaktowaæ siê;stykaæ siê;;;;;;;;;;;;;;;;;
kontakt;po³¹czenie;rozmowa telefoniczna;;;;;;;;;;;;;;;;
kontaminacja;ska¿enie;;;;;;;;;;;;;;;;;
kontekst;okolicznoœci;stosunki;sytuacja;warunki;;;;;;;;;;;;;;
kontener;ujednolicony pojemnik;znormalizowany pojemnik;;;;;;;;;;;;;;;;
kontent;rad;usatysfakcjonowany;zadowolony;;;;;;;;;;;;;;;
konterfekt;podobizna;portret;wizerunek;wyobra¿enie;;;;;;;;;;;;;;
kontestacja;kwestionowanie;;;;;;;;;;;;;;;;;
kontestowaæ;kwestionowaæ;negowaæ;podwa¿aæ;stawiaæ pod znakiem zapytania;w¹tpiæ;zaprzeczaæ;zbijaæ;;;;;;;;;;;
konto;rachunek rozliczeniowy;;;;;;;;;;;;;;;;;
kontrabanda;przemyt;szmugiel;;;;;;;;;;;;;;;;
kontrabandzista;przemytnik;szmugler;szmuglerz;;;;;;;;;;;;;;;
kontradyktoryjnoœæ;przeciwstawnoœæ;spornoœæ;;;;;;;;;;;;;;;;
kontrakcja;oddŸwiêk;odpowiedŸ;odzew;przeciwdzia³anie;reakcja;reperkusje;respons;rezonans;riposta;;;;;;;;;
kontrakt;konwencja;ugoda;uk³ad;ustalenie;;;;;;;;;;;;;;
kontra;sprzeciw;veto;weto;;;;;;;;;;;;;;;
kontrast;odwrotnoœæ;przeciwieñstwo;;;;;;;;;;;;;;;;
kontrastowaæ;odró¿niaæ siê;wyró¿niaæ siê;;;;;;;;;;;;;;;;
kontrastowaæ;przeciwstawiæ;;;;;;;;;;;;;;;;;
kontratak;przeciwnatarcie;przeciwuderzenie;;;;;;;;;;;;;;;;
kontrola urzêdowa;rewizja;;;;;;;;;;;;;;;;;
kontroler finansowy;rewident;;;;;;;;;;;;;;;;;
kontrolny;próbny;testowy;;;;;;;;;;;;;;;;
kontrolowaæ;mieæ w³adzê;utrzymaæ w karbach;utrzymaæ w ryzach;w³adaæ;;;;;;;;;;;;;;
kontrolowaæ;sprawdzaæ;;;;;;;;;;;;;;;;;
kontrolowany;sterowany;;;;;;;;;;;;;;;;;
kontrowaæ;odparowaæ;odpowiedzieæ;;;;;;;;;;;;;;;;
kontrowersja;spór;;;;;;;;;;;;;;;;;
kontuar;lada;stó³ sklepowy;;;;;;;;;;;;;;;;
kontur;krawêdŸ;obrys;rys;zarys;;;;;;;;;;;;;;
kontur;kszta³t;obrys;rysunek;szkic;zarys;;;;;;;;;;;;;
kontuzjowany;pokiereszowany;poszkodowany;ranny;zraniony;;;;;;;;;;;;;;
kontynent;l¹d;sta³y l¹d;ziemia;;;;;;;;;;;;;;;
kontyngent;okreœlony udzia³;;;;;;;;;;;;;;;;;
kontynuator;naœladowca;;;;;;;;;;;;;;;;;
kontynuowaæ;postêpowaæ;posuwaæ siê;rozwijaæ siê;;;;;;;;;;;;;;;
kontynuowaæ;prowadziæ dalej;;;;;;;;;;;;;;;;;
konwenans;obyczaj;zwyczaj;;;;;;;;;;;;;;;;
konwencja;obyczaj;usus;uzus;zwyczaj;;;;;;;;;;;;;;
konwencjonalny;typowy;umowny;zwyczajowy;;;;;;;;;;;;;;;
konweniowaæ;odpowiadaæ;podobaæ siê;przypadaæ do gustu;trafiaæ do gustu;;;;;;;;;;;;;;
konwent;spotkanie;zebranie;zgromadzenie;;;;;;;;;;;;;;;
konwergencja;zbie¿noœæ;;;;;;;;;;;;;;;;;
konwersacja;wymiana zdañ;;;;;;;;;;;;;;;;;
konwersja;przekszta³cenie;przemiana;przeobra¿enie;transformacja;;;;;;;;;;;;;;
konwersja;transformacja;zamiana;;;;;;;;;;;;;;;;
konwersowaæ;prowadziæ konwersacjê;;;;;;;;;;;;;;;;;
konwerter;konwertor;przetwornica;przetwornik;;;;;;;;;;;;;;;
konwulsja;paroksyzm;;;;;;;;;;;;;;;;;
konwulsja;spazm;;;;;;;;;;;;;;;;;
koñcówka;pozosta³oœæ;reszta;resztka;;;;;;;;;;;;;;;
koñcówka;terminal;urz¹dzenie koñcowe;;;;;;;;;;;;;;;;
koñcówka;zakoñczenie;;;;;;;;;;;;;;;;;
koñczyæ;ogradzaæ;zamykaæ;;;;;;;;;;;;;;;;
koñczyæ;przestawaæ;ustawaæ;zaprzestawaæ;;;;;;;;;;;;;;;
koñczyæ siê na;ograniczaæ;redukowaæ;sprowadzaæ;;;;;;;;;;;;;;;
koñczyæ siê;up³ywaæ;wybiec;;;;;;;;;;;;;;;;
koñczyna górna;rêka;;;;;;;;;;;;;;;;;
koñ morski;mors;;;;;;;;;;;;;;;;;
koñ pod siod³o;wierzchowiec;;;;;;;;;;;;;;;;;
kooperacja;spó³dzielczoœæ;;;;;;;;;;;;;;;;;
kooperacja;wspó³dzia³anie;wspó³praca;;;;;;;;;;;;;;;;
kooperatywa;spó³dzielnia;stowarzyszenie spó³dzielcze;;;;;;;;;;;;;;;;
kooperowaæ;wspó³dzia³aæ;wspó³pracowaæ;;;;;;;;;;;;;;;;
kooperuj¹cy;wspó³pracuj¹cy;;;;;;;;;;;;;;;;;
koordynacja;skoordynowanie;synchronizacja;uzgodnienie;zharmonizowanie;;;;;;;;;;;;;;
koordynowaæ;uzgodniæ;;;;;;;;;;;;;;;;;
kopacz;wydobywaj¹cy;;;;;;;;;;;;;;;;;
kopaæ;opieraæ siê;wierzgaæ;;;;;;;;;;;;;;;;
kopaæ;podkopywaæ;;;;;;;;;;;;;;;;;
kopaæ rów;okopaæ;robiæ okop;;;;;;;;;;;;;;;;
kopaæ;ryæ;uderzaæ motyk¹;;;;;;;;;;;;;;;;
kopalnia informacji;kopalnia wiedzy;;;;;;;;;;;;;;;;;
kopalnia;sztolnia;;;;;;;;;;;;;;;;;
kopara;szczêka;;;;;;;;;;;;;;;;;
koparka;pog³êbiarka;;;;;;;;;;;;;;;;;
kopa;szeœædziesi¹t;;;;;;;;;;;;;;;;;
koperczaki;umizgi;zalecanie siê;zaloty;;;;;;;;;;;;;;;
kopersztych;miedzioryt;;;;;;;;;;;;;;;;;
koperta;korzyœæ maj¹tkowa;³apówka;w ³apê;wzi¹tka;;;;;;;;;;;;;;
koperta;parkowanie równoleg³e;;;;;;;;;;;;;;;;;
koperta;poszewka;pow³oka;;;;;;;;;;;;;;;;
kopia;odbicie;odbitka;reprodukcja;;;;;;;;;;;;;;;
kopiec;kurhan;nasyp;pagórek;;;;;;;;;;;;;;;
kopiowaæ;kserowaæ;;;;;;;;;;;;;;;;;
kopiowanie;powielanie;reprodukowanie;;;;;;;;;;;;;;;;
kopn¹æ;kopsn¹æ;podaæ;;;;;;;;;;;;;;;;
kopniak;kopniêcie;uderzenie nog¹;;;;;;;;;;;;;;;;
koprodukcja;wspólna produkcja;;;;;;;;;;;;;;;;;
kopulowaæ;parzyæ siê;;;;;;;;;;;;;;;;;
kopulowaæ;spó³kowaæ;;;;;;;;;;;;;;;;;
kopyœæ;³y¿ka drewniana;warzecha;warzêcha;;;;;;;;;;;;;;;
kopyto szewskie;prawid³o;;;;;;;;;;;;;;;;;
koralik;paciorek;;;;;;;;;;;;;;;;;
koral;koralowiec;rafa;rafa koralowa;;;;;;;;;;;;;;;
korekcja;korekta;naprawianie;poprawianie;;;;;;;;;;;;;;;
korekcja;wyrównywanie;;;;;;;;;;;;;;;;;
korekta;korektura;poprawka;storno;;;;;;;;;;;;;;;
korektor;urz¹dzenie koryguj¹ce;;;;;;;;;;;;;;;;;
korek uliczny;zator;;;;;;;;;;;;;;;;;
korek;zator drogowy;;;;;;;;;;;;;;;;;
korelacja;wspó³zale¿noœæ;;;;;;;;;;;;;;;;;
korelacja;zwi¹zek;;;;;;;;;;;;;;;;;
korepetycje;korki;;;;;;;;;;;;;;;;;
korespondencja;poczta;;;;;;;;;;;;;;;;;
korespondencyjnie;listownie;;;;;;;;;;;;;;;;;
korespondent;wys³annik;;;;;;;;;;;;;;;;;
korespondowaæ;pisaæ listy;porozumiewaæ siê listownie;prowadziæ korespondencjê;wymieniaæ listy;;;;;;;;;;;;;;
korkoci¹g;trybuszon;;;;;;;;;;;;;;;;;
korkowaæ;szpuntowaæ;zatykaæ;;;;;;;;;;;;;;;;
korner;ro¿ny;róg;rzut ro¿ny;;;;;;;;;;;;;;;
korny;pokorny;pos³uszny;potulny;powolny;skromny;;;;;;;;;;;;;
korodowaæ;rdzewieæ;;;;;;;;;;;;;;;;;
korona drzewa;listowie;liœcie;;;;;;;;;;;;;;;;
korona;poro¿e jelenia;rogi jelenia;;;;;;;;;;;;;;;;
koronowany;ukoronowany;zwieñczony;;;;;;;;;;;;;;;;
koronowany w³adca;król;suweren;suzeren;;;;;;;;;;;;;;;
korowód;parada;wspania³y pokaz;;;;;;;;;;;;;;;;
korozyjny;¿r¹cy;;;;;;;;;;;;;;;;;
korpulencja;nadwaga;tusza;;;;;;;;;;;;;;;;
korsarstwo;piractwo;;;;;;;;;;;;;;;;;
korsarstwo;piractwo;;;;;;;;;;;;;;;;;
korygowaæ;poprawiaæ;przegl¹daæ;rewidowaæ;;;;;;;;;;;;;;;
korygowaæ;poprawiaæ;usuwaæ b³êdy;wnosiæ poprawki;;;;;;;;;;;;;;;
korytarz;przedpokój;;;;;;;;;;;;;;;;;
koryto;¿³ób;;;;;;;;;;;;;;;;;
korzenie;pochodzenie;rodowód;ród;urodzenie;;;;;;;;;;;;;;
korzystaæ;pos³ugiwaæ siê;stosowaæ;u¿ytkowaæ;u¿ywaæ;wykorzystywaæ;;;;;;;;;;;;;
korzystaj¹cy;u¿ywaj¹cy;;;;;;;;;;;;;;;;;
korzystnie;op³acalnie;zyskownie;;;;;;;;;;;;;;;;
kosiarz;¿eniec;¿niwiarz;;;;;;;;;;;;;;;;
kosiæ;siec;¿¹æ;;;;;;;;;;;;;;;;
kosmaty;ow³osiony;w³ochaty;;;;;;;;;;;;;;;;
kosmiczny;nie z tego œwiata;nieziemski;obcy;pozaziemski;;;;;;;;;;;;;;
kosmita;Marsjanin;obcy;ufok;ufoludek;zielony ludzik;;;;;;;;;;;;;
kosmopolita;obywatel œwiata;;;;;;;;;;;;;;;;;
kosmos;przestrzeñ kosmiczna;uniwersum;wszechœwiat;;;;;;;;;;;;;;;
kosmyk;miote³ka;wi¹zka;;;;;;;;;;;;;;;;
kostka;szeœcian;;;;;;;;;;;;;;;;;
kostnica;trupiarnia;;;;;;;;;;;;;;;;;
kostucha;mroczny ¿niwiarz;œmieræ;;;;;;;;;;;;;;;;
kosz;kosz na œmieci;kube³;œmietnik;;;;;;;;;;;;;;;
kosz;koszyk;;;;;;;;;;;;;;;;;
koszmar;mara;nocna zjawa;zmora;;;;;;;;;;;;;;;
koszmarny;obmierz³y;obrzydliwy;odpychaj¹cy;odra¿aj¹cy;odstrêczaj¹cy;ohydny;okropny;paskudny;przebrzyd³y;przera¿aj¹cy;przyprawiaj¹cy o md³oœci;straszny;szkaradny;upiorny;wstrêtny;;;
koszt;nak³ad pieniê¿ny;sumpt;wydatek;;;;;;;;;;;;;;;
kosztowaæ;osi¹gaæ cenê;poci¹gaæ koszty;wymagaæ pieniêdzy;;;;;;;;;;;;;;;
koszty utrzymania;utrzymanie;;;;;;;;;;;;;;;;;
koszykarstwo;wikliniarstwo;;;;;;;;;;;;;;;;;
koszykówka;pi³ka koszykowa;;;;;;;;;;;;;;;;;
koœcielny;zakrystian;;;;;;;;;;;;;;;;;
Koœció³;zwi¹zek wyznaniowy;;;;;;;;;;;;;;;;;
koœæ niezgody;przedmiot sporu;;;;;;;;;;;;;;;;;
koœæ;tkanka kostna;;;;;;;;;;;;;;;;;
koœlawy;krzywy;skrzywiony;wygiêty;;;;;;;;;;;;;;;
kotara;portiera;;;;;;;;;;;;;;;;;
kot;kotowaty;;;;;;;;;;;;;;;;;
kotlet mielony;mielony;;;;;;;;;;;;;;;;;
kotlet schabowy;schaboszczak;schabowy;;;;;;;;;;;;;;;;
kotlet;zraz;;;;;;;;;;;;;;;;;
kot³owaæ siê;tarzaæ siê;;;;;;;;;;;;;;;;;
kot perski;pers;;;;;;;;;;;;;;;;;
kowal;kujon;;;;;;;;;;;;;;;;;
kozaczek;kozak;;;;;;;;;;;;;;;;;
kozak;koŸlak;koŸlarz;;;;;;;;;;;;;;;;
koza;piecyk;;;;;;;;;;;;;;;;;
kozik;no¿yk;scyzoryk;;;;;;;;;;;;;;;;
ko¿uch;ko¿uszek;nalot;naskórek;osad;os³onka;pow³oka;skórka;warstewka;zmatowienie;;;;;;;;;
kpiarski;zgrywny;;;;;;;;;;;;;;;;;
krab;rak;;;;;;;;;;;;;;;;;
kraciasty;pokratkowany;w kratkê;;;;;;;;;;;;;;;;
kradzie¿;przyw³aszczenie;z³odziejstwo;;;;;;;;;;;;;;;;
kraina;kraj;pañstwo;;;;;;;;;;;;;;;;
kraina;obrêb;obszar;okrêg;teren;terytorium;;;;;;;;;;;;;
krajaæ na drobne kawa³ki;kruszyæ;przebieraæ;siekaæ;;;;;;;;;;;;;;;
krajan;rodak;wspó³ziomek;ziomek;;;;;;;;;;;;;;;
kraj bardzo bogaty i ¿yzny;ziemia obiecana;;;;;;;;;;;;;;;;;
kraj lat dziecinnych;kraj ojczysty;macierz;ojczyzna;;;;;;;;;;;;;;;
Kraj nad Wis³¹;Lechistan;Polska;Rzeczpospolita Polska;;;;;;;;;;;;;;;
krajobraz;panorama;pejza¿;widok;;;;;;;;;;;;;;;
krajowy;lokalny;nasz;polski;w³asny;;;;;;;;;;;;;;
krajoznawczy;turystyczny;;;;;;;;;;;;;;;;;
krajzega;pi³a tarczowa;;;;;;;;;;;;;;;;;
kraj zwi¹zkowy;land;;;;;;;;;;;;;;;;;
krakaæ;zapeszyæ;;;;;;;;;;;;;;;;;
kraniec;kres;;;;;;;;;;;;;;;;;
kran;kurek;;;;;;;;;;;;;;;;;
kranówa;kranówka;woda z kranu;;;;;;;;;;;;;;;;
krañcowo;nadzwyczajnie;niezwykle;;;;;;;;;;;;;;;;
krañcowo;nadzwyczajnie;skrajnie;;;;;;;;;;;;;;;;
krasomówca;mówca;orator;prelegent;przemawiaj¹cy;retor;zabieraj¹cy g³os;z³otousty;;;;;;;;;;;
krasula;krowa;muæka;;;;;;;;;;;;;;;;
kratka;zgrzewka;;;;;;;;;;;;;;;;;
kr¹¿¹cy;wêdruj¹cy;;;;;;;;;;;;;;;;;
kr¹¿yæ;krêciæ siê;obracaæ siê;rotowaæ;toczyæ siê;wirowaæ;;;;;;;;;;;;;
kr¹¿yæ;kursowaæ;obiegaæ;;;;;;;;;;;;;;;;
kreacja;stworzenie;uformowanie;utworzenie;zrobienie;;;;;;;;;;;;;;
kreacyjny;kreatywny;obdarzony wyobraŸni¹;oryginalny;pomys³owy;twórczy;;;;;;;;;;;;;
kreatywny;p³odny;produktywny;wydajny;;;;;;;;;;;;;;;
kredka do ust;pomadka;szminka;;;;;;;;;;;;;;;;
kredka;o³ówek;;;;;;;;;;;;;;;;;
kredka;pastel;;;;;;;;;;;;;;;;;
kredytowaæ;udzielaæ kredytu;;;;;;;;;;;;;;;;;
krematorium;spopielarnia;;;;;;;;;;;;;;;;;
kremowaæ;spalaæ;spopielaæ;;;;;;;;;;;;;;;;
kreowaæ;stwarzaæ;;;;;;;;;;;;;;;;;
kres górny;maksimum;supremum;;;;;;;;;;;;;;;;
kreska;linia;;;;;;;;;;;;;;;;;
kresy;pogranicze;rubie¿;;;;;;;;;;;;;;;;
kres ¿ycia;³o¿e œmierci;;;;;;;;;;;;;;;;;
kreœlarz;projektant;;;;;;;;;;;;;;;;;
kreœlarz;rysownik;;;;;;;;;;;;;;;;;
kreœliæ ko³o;otaczaæ;;;;;;;;;;;;;;;;;
kreœliæ;nakreœlaæ;szkicowaæ;;;;;;;;;;;;;;;;
kreœliæ;rysowaæ;;;;;;;;;;;;;;;;;
krêcenie;wirowanie;;;;;;;;;;;;;;;;;
krêciæ;kuglowaæ;lawirowaæ;³owiæ ryby w mêtnej wodzie;mataczyæ;motaæ;namieszaæ;namotaæ;oszukiwaæ;siaæ zamêt;zwodziæ;;;;;;;;
krêciæ siê;kursowaæ;oscylowaæ;;;;;;;;;;;;;;;;
krêciæ siê;nakrêcaæ;nawijaæ;wiæ siê;;;;;;;;;;;;;;;
krêciæ siê;pêtaæ siê;pl¹taæ siê;;;;;;;;;;;;;;;;
krêciæ siê;pleœæ;skrêcaæ siê;wik³aæ siê;wykrêcaæ;;;;;;;;;;;;;;
krêciæ siê;wierciæ siê;;;;;;;;;;;;;;;;;
krêciæ;uk³adaæ w loki;zwijaæ siê;;;;;;;;;;;;;;;;
krêgos³up;pacierz;;;;;;;;;;;;;;;;;
krêpowaæ;pêtaæ;wi¹zaæ;zakuwaæ;zwi¹zywaæ;;;;;;;;;;;;;;
krêty;spiralny;;;;;;;;;;;;;;;;;
